rules,support,confidence,coverage,lift,count
"{fruit/vegetable juice,other vegetables} => {whole milk}",0.010472801,0.497584541,0.02104728,1.947371254,103
{butter} => {whole milk},0.027554652,0.497247706,0.055414337,1.946053001,271
{whole milk} => {butter},0.027554652,0.107839236,0.255516014,1.946053001,271
{beef} => {other vegetables},0.01972547,0.375968992,0.052465684,1.943066232,194
{other vegetables} => {beef},0.01972547,0.101944298,0.193492628,1.943066232,194
{pork} => {other vegetables},0.021657346,0.375661376,0.057651246,1.941476421,213
{other vegetables} => {pork},0.021657346,0.111928534,0.193492628,1.941476421,213
"{other vegetables,whole milk} => {fruit/vegetable juice}",0.010472801,0.139945652,0.074834774,1.93581644,103
"{other vegetables,rolls/buns} => {yogurt}",0.011489578,0.269689737,0.042602949,1.933235108,113
{curd} => {whole milk},0.026131164,0.490458015,0.053279105,1.919480533,257
{whole milk} => {curd},0.026131164,0.102268205,0.255516014,1.919480533,257
{butter milk} => {other vegetables},0.010371124,0.370909091,0.027961362,1.916915874,102
{other vegetables} => {butter milk},0.010371124,0.05359958,0.193492628,1.916915874,102
"{other vegetables,root vegetables} => {whole milk}",0.023182511,0.489270386,0.0473818,1.91483257,228
{frozen vegetables} => {other vegetables},0.017793594,0.369978858,0.048093543,1.912108288,175
{other vegetables} => {frozen vegetables},0.017793594,0.091960063,0.193492628,1.912108288,175
{butter} => {yogurt},0.014641586,0.264220183,0.055414337,1.894027336,144
{yogurt} => {butter},0.014641586,0.104956268,0.139501779,1.894027336,144
{pip fruit} => {root vegetables},0.015556685,0.205645161,0.075648195,1.886679255,153
{root vegetables} => {pip fruit},0.015556685,0.142723881,0.108998475,1.886679255,153
{citrus fruit} => {yogurt},0.021657346,0.26199262,0.082663955,1.878059342,213
{yogurt} => {citrus fruit},0.021657346,0.155247813,0.139501779,1.878059342,213
"{soda,whole milk} => {yogurt}",0.010472801,0.26142132,0.040061007,1.873964053,103
{curd} => {root vegetables},0.010879512,0.204198473,0.053279105,1.873406702,107
{root vegetables} => {curd},0.010879512,0.099813433,0.108998475,1.873406702,107
{butter} => {other vegetables},0.020030503,0.36146789,0.055414337,1.868122279,197
{other vegetables} => {butter},0.020030503,0.103520757,0.193492628,1.868122279,197
"{other vegetables,tropical fruit} => {whole milk}",0.017081851,0.47592068,0.035892222,1.862586505,168
"{citrus fruit,yogurt} => {whole milk}",0.010269446,0.474178404,0.021657346,1.855767848,101
{fruit/vegetable juice} => {yogurt},0.018708693,0.258790436,0.072292832,1.855104911,184
{yogurt} => {fruit/vegetable juice},0.018708693,0.134110787,0.139501779,1.855104911,184
{domestic eggs} => {whole milk},0.029994916,0.47275641,0.063446873,1.850202664,295
{whole milk} => {domestic eggs},0.029994916,0.117389574,0.255516014,1.850202664,295
{frozen vegetables} => {yogurt},0.012404677,0.257928118,0.048093543,1.848923502,122
{yogurt} => {frozen vegetables},0.012404677,0.088921283,0.139501779,1.848923502,122
"{rolls/buns,whole milk} => {tropical fruit}",0.01098119,0.193895871,0.056634469,1.847835163,108
{tropical fruit} => {root vegetables},0.02104728,0.200581395,0.104931368,1.840222037,207
{root vegetables} => {tropical fruit},0.02104728,0.193097015,0.108998475,1.840222037,207
{whipped/sour cream} => {tropical fruit},0.013828165,0.192907801,0.071682766,1.838418825,136
{tropical fruit} => {whipped/sour cream},0.013828165,0.131782946,0.104931368,1.838418825,136
"{other vegetables,pork} => {whole milk}",0.010167768,0.469483568,0.021657346,1.837393908,100
{curd} => {tropical fruit},0.010269446,0.192748092,0.053279105,1.836896784,101
{tropical fruit} => {curd},0.010269446,0.097868217,0.104931368,1.836896784,101
{whipped/sour cream} => {citrus fruit},0.010879512,0.15177305,0.071682766,1.83602453,107
{citrus fruit} => {whipped/sour cream},0.010879512,0.131611316,0.082663955,1.83602453,107
"{other vegetables,pastry} => {whole milk}",0.010574479,0.468468468,0.022572445,1.833421165,104
{napkins} => {tropical fruit},0.01006609,0.19223301,0.052364006,1.831988033,99
{tropical fruit} => {napkins},0.01006609,0.095930233,0.104931368,1.831988033,99
{frankfurter} => {sausage},0.01006609,0.170689655,0.058973055,1.816810345,99
{sausage} => {frankfurter},0.01006609,0.107142857,0.093950178,1.816810345,99
{domestic eggs} => {other vegetables},0.022267412,0.350961538,0.063446873,1.813823821,219
{other vegetables} => {domestic eggs},0.022267412,0.11508145,0.193492628,1.813823821,219
{fruit/vegetable juice} => {tropical fruit},0.013726487,0.189873418,0.072292832,1.80950103,135
{tropical fruit} => {fruit/vegetable juice},0.013726487,0.130813953,0.104931368,1.80950103,135
{citrus fruit} => {other vegetables},0.028876462,0.349323493,0.082663955,1.805358148,284
{other vegetables} => {citrus fruit},0.028876462,0.149238045,0.193492628,1.805358148,284
"{soda,whole milk} => {other vegetables}",0.013929842,0.347715736,0.040061007,1.797049009,137
{cream cheese} => {other vegetables},0.013726487,0.346153846,0.039654296,1.788976919,135
{other vegetables} => {cream cheese},0.013726487,0.07094062,0.193492628,1.788976919,135
{pip fruit} => {other vegetables},0.026131164,0.345430108,0.075648195,1.785236525,257
{other vegetables} => {pip fruit},0.026131164,0.135049921,0.193492628,1.785236525,257
{fruit/vegetable juice} => {bottled water},0.014234875,0.196905767,0.072292832,1.781571494,140
{bottled water} => {fruit/vegetable juice},0.014234875,0.128794848,0.11052364,1.781571494,140
{frankfurter} => {rolls/buns},0.019217082,0.325862069,0.058973055,1.771616058,189
{rolls/buns} => {frankfurter},0.019217082,0.104477612,0.183934926,1.771616058,189
"{rolls/buns,yogurt} => {whole milk}",0.015556685,0.452662722,0.034367056,1.77156302,153
{sausage} => {rolls/buns},0.030604982,0.325757576,0.093950178,1.771047959,301
{rolls/buns} => {sausage},0.030604982,0.166390271,0.183934926,1.771047959,301
{bottled beer} => {bottled water},0.015760041,0.195707071,0.080528724,1.770725888,155
{bottled water} => {bottled beer},0.015760041,0.142594296,0.11052364,1.770725888,155
{tropical fruit} => {other vegetables},0.035892222,0.342054264,0.104931368,1.767789639,353
{other vegetables} => {tropical fruit},0.035892222,0.185496584,0.193492628,1.767789639,353
"{citrus fruit,other vegetables} => {whole milk}",0.013014743,0.450704225,0.028876462,1.763898152,128
{whipped/sour cream} => {whole milk},0.032231825,0.44964539,0.071682766,1.759754242,317
{whole milk} => {whipped/sour cream},0.032231825,0.126144051,0.255516014,1.759754242,317
"{sausage,whole milk} => {other vegetables}",0.010167768,0.340136054,0.029893238,1.757876035,100
{root vegetables} => {whole milk},0.048906965,0.44869403,0.108998475,1.756030952,481
{whole milk} => {root vegetables},0.048906965,0.191404696,0.255516014,1.756030952,481
{brown bread} => {sausage},0.010676157,0.164576803,0.064870361,1.751745512,105
{sausage} => {brown bread},0.010676157,0.113636364,0.093950178,1.751745512,105
"{rolls/buns,tropical fruit} => {whole milk}",0.01098119,0.446280992,0.024605999,1.746587168,108
{margarine} => {yogurt},0.014234875,0.243055556,0.058566345,1.742311508,140
{yogurt} => {margarine},0.014234875,0.102040816,0.139501779,1.742311508,140
{margarine} => {other vegetables},0.01972547,0.336805556,0.058566345,1.740663499,194
{other vegetables} => {margarine},0.01972547,0.101944298,0.193492628,1.740663499,194
{sugar} => {whole milk},0.015048297,0.444444444,0.033858668,1.739399567,148
{whole milk} => {sugar},0.015048297,0.058893752,0.255516014,1.739399567,148
{margarine} => {root vegetables},0.011082867,0.189236111,0.058566345,1.736135404,109
{root vegetables} => {margarine},0.011082867,0.101679104,0.108998475,1.736135404,109
{fruit/vegetable juice} => {citrus fruit},0.010371124,0.143459916,0.072292832,1.735459127,102
{citrus fruit} => {fruit/vegetable juice},0.010371124,0.125461255,0.082663955,1.735459127,102
{hamburger meat} => {whole milk},0.014743264,0.443425076,0.033248602,1.735410118,145
{whole milk} => {hamburger meat},0.014743264,0.05769996,0.255516014,1.735410118,145
"{rolls/buns,yogurt} => {other vegetables}",0.011489578,0.334319527,0.034367056,1.727815315,113
{ham} => {whole milk},0.011489578,0.44140625,0.026029487,1.72750914,113
{whole milk} => {ham},0.011489578,0.044966176,0.255516014,1.72750914,113
{sliced cheese} => {whole milk},0.010777834,0.439834025,0.024504321,1.721356003,106
{whole milk} => {sliced cheese},0.010777834,0.042180661,0.255516014,1.721356003,106
{domestic eggs} => {tropical fruit},0.0113879,0.179487179,0.063446873,1.710519777,112
{tropical fruit} => {domestic eggs},0.0113879,0.108527132,0.104931368,1.710519777,112
{pip fruit} => {yogurt},0.01799695,0.237903226,0.075648195,1.705377716,177
{yogurt} => {pip fruit},0.01799695,0.129008746,0.139501779,1.705377716,177
"{bottled water,other vegetables} => {whole milk}",0.010777834,0.43442623,0.024809354,1.70019179,106
{root vegetables} => {yogurt},0.025826131,0.236940299,0.108998475,1.698475099,254
{yogurt} => {root vegetables},0.025826131,0.185131195,0.139501779,1.698475099,254
{shopping bags} => {sausage},0.015658363,0.158926729,0.098525674,1.691606467,154
{sausage} => {shopping bags},0.015658363,0.166666667,0.093950178,1.691606467,154
{white bread} => {other vegetables},0.013726487,0.326086957,0.04209456,1.685268112,135
{other vegetables} => {white bread},0.013726487,0.07094062,0.193492628,1.685268112,135
{napkins} => {yogurt},0.012302999,0.234951456,0.052364006,1.684218348,121
{yogurt} => {napkins},0.012302999,0.08819242,0.139501779,1.684218348,121
{curd} => {other vegetables},0.017183528,0.322519084,0.053279105,1.666828792,169
{other vegetables} => {curd},0.017183528,0.088807147,0.193492628,1.666828792,169
"{other vegetables,soda} => {whole milk}",0.013929842,0.425465839,0.032740214,1.665123964,137
{frozen vegetables} => {whole milk},0.020437214,0.424947146,0.048093543,1.663093983,201
{whole milk} => {frozen vegetables},0.020437214,0.079984083,0.255516014,1.663093983,201
{sugar} => {other vegetables},0.010777834,0.318318318,0.033858668,1.645118582,106
{other vegetables} => {sugar},0.010777834,0.055701524,0.193492628,1.645118582,106
"{other vegetables,rolls/buns} => {whole milk}",0.017895272,0.420047733,0.042602949,1.6439194,176
"{pastry,whole milk} => {other vegetables}",0.010574479,0.318042813,0.033248602,1.64369473,104
"{rolls/buns,whole milk} => {other vegetables}",0.017895272,0.315978456,0.056634469,1.633025809,176
{cream cheese} => {whole milk},0.016471784,0.415384615,0.039654296,1.625669595,162
{whole milk} => {cream cheese},0.016471784,0.064464783,0.255516014,1.625669595,162
{butter milk} => {whole milk},0.011591256,0.414545455,0.027961362,1.622385414,114
{whole milk} => {butter milk},0.011591256,0.045364107,0.255516014,1.622385414,114
"{bottled water,whole milk} => {other vegetables}",0.010777834,0.313609467,0.034367056,1.620782508,106
{domestic eggs} => {yogurt},0.014336553,0.225961538,0.063446873,1.619775314,141
{yogurt} => {domestic eggs},0.014336553,0.102769679,0.139501779,1.619775314,141
{margarine} => {whole milk},0.024199288,0.413194444,0.058566345,1.617098035,238
{whole milk} => {margarine},0.024199288,0.094707521,0.255516014,1.617098035,238
{dessert} => {other vegetables},0.011591256,0.312328767,0.037112354,1.614163649,114
{other vegetables} => {dessert},0.011591256,0.059905413,0.193492628,1.614163649,114
{yogurt} => {other vegetables},0.04341637,0.31122449,0.139501779,1.608456572,427
{other vegetables} => {yogurt},0.04341637,0.224382554,0.193492628,1.608456572,427
{hard cheese} => {whole milk},0.01006609,0.410788382,0.024504321,1.60768155,99
{whole milk} => {hard cheese},0.01006609,0.039395145,0.255516014,1.60768155,99
{brown bread} => {yogurt},0.014539908,0.224137931,0.064870361,1.606703026,143
{yogurt} => {brown bread},0.014539908,0.104227405,0.139501779,1.606703026,143
{chicken} => {whole milk},0.017590239,0.409952607,0.042907982,1.604410619,173
{whole milk} => {chicken},0.017590239,0.068842021,0.255516014,1.604410619,173
{beef} => {yogurt},0.011692933,0.222868217,0.052465684,1.59760125,115
{yogurt} => {beef},0.011692933,0.083819242,0.139501779,1.59760125,115
{berries} => {other vegetables},0.010269446,0.308868502,0.033248602,1.596280459,101
{other vegetables} => {berries},0.010269446,0.053074094,0.193492628,1.596280459,101
{bottled water} => {tropical fruit},0.018505338,0.167433303,0.11052364,1.595645864,182
{tropical fruit} => {bottled water},0.018505338,0.176356589,0.104931368,1.595645864,182
"{other vegetables,whole milk} => {pastry}",0.010574479,0.141304348,0.074834774,1.58826087,104
{white bread} => {whole milk},0.017081851,0.405797101,0.04209456,1.58814743,168
{whole milk} => {white bread},0.017081851,0.066852368,0.255516014,1.58814743,168
{margarine} => {bottled water},0.010269446,0.175347222,0.058566345,1.586513276,101
{bottled water} => {margarine},0.010269446,0.092916283,0.11052364,1.586513276,101
{pip fruit} => {pastry},0.010676157,0.141129032,0.075648195,1.586290323,105
{pastry} => {pip fruit},0.010676157,0.12,0.088967972,1.586290323,105
{beef} => {whole milk},0.021250635,0.40503876,0.052465684,1.585179547,209
{whole milk} => {beef},0.021250635,0.083167529,0.255516014,1.585179547,209
{frankfurter} => {root vegetables},0.010167768,0.172413793,0.058973055,1.581800051,100
{root vegetables} => {frankfurter},0.010167768,0.093283582,0.108998475,1.581800051,100
{tropical fruit} => {whole milk},0.042297916,0.403100775,0.104931368,1.577594956,416
{whole milk} => {tropical fruit},0.042297916,0.165539196,0.255516014,1.577594956,416
{oil} => {whole milk},0.011286223,0.402173913,0.02806304,1.573967543,111
{whole milk} => {oil},0.011286223,0.044170314,0.255516014,1.573967543,111
{yogurt} => {whole milk},0.056024403,0.401603499,0.139501779,1.571735141,551
{whole milk} => {yogurt},0.056024403,0.219259849,0.255516014,1.571735141,551
{brown bread} => {tropical fruit},0.010676157,0.164576803,0.064870361,1.568423307,105
{tropical fruit} => {brown bread},0.010676157,0.101744186,0.104931368,1.568423307,105
{chocolate} => {soda},0.013523132,0.272540984,0.049618709,1.56293911,133
{soda} => {chocolate},0.013523132,0.07755102,0.174377224,1.56293911,133
{pip fruit} => {whole milk},0.030096594,0.397849462,0.075648195,1.557043161,296
{whole milk} => {pip fruit},0.030096594,0.117787505,0.255516014,1.557043161,296
{onions} => {whole milk},0.012099644,0.390163934,0.031011693,1.526964702,119
{whole milk} => {onions},0.012099644,0.04735376,0.255516014,1.526964702,119
{fruit/vegetable juice} => {root vegetables},0.011997966,0.165963432,0.072292832,1.522621597,118
{root vegetables} => {fruit/vegetable juice},0.011997966,0.110074627,0.108998475,1.522621597,118
{hygiene articles} => {whole milk},0.012811388,0.388888889,0.032943569,1.521974621,126
{whole milk} => {hygiene articles},0.012811388,0.050139276,0.255516014,1.521974621,126
{brown bread} => {whole milk},0.025216065,0.388714734,0.064870361,1.521293038,248
{whole milk} => {brown bread},0.025216065,0.098686828,0.255516014,1.521293038,248
{pip fruit} => {sausage},0.010777834,0.142473118,0.075648195,1.516475236,106
{sausage} => {pip fruit},0.010777834,0.114718615,0.093950178,1.516475236,106
{other vegetables} => {whole milk},0.074834774,0.386757751,0.193492628,1.513634095,736
{whole milk} => {other vegetables},0.074834774,0.292877039,0.255516014,1.513634095,736
"{whole milk,yogurt} => {rolls/buns}",0.015556685,0.277676951,0.056024403,1.509647768,153
{pork} => {whole milk},0.022165735,0.384479718,0.057651246,1.504718673,218
{whole milk} => {pork},0.022165735,0.086748906,0.255516014,1.504718673,218
{fruit/vegetable juice} => {other vegetables},0.02104728,0.291139241,0.072292832,1.50465288,207
{other vegetables} => {fruit/vegetable juice},0.02104728,0.108775617,0.193492628,1.50465288,207
{bottled water} => {soda},0.028978139,0.262189512,0.11052364,1.503576592,285
{soda} => {bottled water},0.028978139,0.166180758,0.174377224,1.503576592,285
{fruit/vegetable juice} => {shopping bags},0.010676157,0.147679325,0.072292832,1.498891806,105
{shopping bags} => {fruit/vegetable juice},0.010676157,0.108359133,0.098525674,1.498891806,105
"{soda,yogurt} => {whole milk}",0.010472801,0.382899628,0.027351296,1.498534757,103
{sausage} => {yogurt},0.019623793,0.208874459,0.093950178,1.497288851,193
{yogurt} => {sausage},0.019623793,0.140670554,0.139501779,1.497288851,193
{pastry} => {sausage},0.012506355,0.140571429,0.088967972,1.496233766,123
{sausage} => {pastry},0.012506355,0.133116883,0.093950178,1.496233766,123
{brown bread} => {other vegetables},0.018708693,0.288401254,0.064870361,1.490502539,184
{other vegetables} => {brown bread},0.018708693,0.096689438,0.193492628,1.490502539,184
{bottled water} => {yogurt},0.022979156,0.207911684,0.11052364,1.490387323,226
{yogurt} => {bottled water},0.022979156,0.164723032,0.139501779,1.490387323,226
{canned beer} => {shopping bags},0.0113879,0.146596859,0.077681749,1.487905165,112
{shopping bags} => {canned beer},0.0113879,0.115583075,0.098525674,1.487905165,112
{sausage} => {soda},0.024300966,0.258658009,0.093950178,1.483324499,239
{soda} => {sausage},0.024300966,0.139358601,0.174377224,1.483324499,239
{sausage} => {other vegetables},0.026944586,0.286796537,0.093950178,1.482209112,265
{other vegetables} => {sausage},0.026944586,0.13925381,0.193492628,1.482209112,265
{fruit/vegetable juice} => {sausage},0.01006609,0.139240506,0.072292832,1.482067511,99
{sausage} => {fruit/vegetable juice},0.01006609,0.107142857,0.093950178,1.482067511,99
{citrus fruit} => {bottled water},0.013523132,0.163591636,0.082663955,1.480150634,133
{bottled water} => {citrus fruit},0.013523132,0.122355106,0.11052364,1.480150634,133
"{other vegetables,sausage} => {whole milk}",0.010167768,0.377358491,0.026944586,1.476848689,100
{long life bakery product} => {other vegetables},0.010676157,0.285326087,0.037417387,1.474609598,105
{other vegetables} => {long life bakery product},0.010676157,0.055176038,0.193492628,1.474609598,105
{napkins} => {whole milk},0.01972547,0.376699029,0.052364006,1.474267788,194
{whole milk} => {napkins},0.01972547,0.077198567,0.255516014,1.474267788,194
{salty snack} => {other vegetables},0.010777834,0.284946237,0.037824098,1.472646472,106
{other vegetables} => {salty snack},0.010777834,0.055701524,0.193492628,1.472646472,106
{pastry} => {whole milk},0.033248602,0.373714286,0.088967972,1.46258655,327
{whole milk} => {pastry},0.033248602,0.130123359,0.255516014,1.46258655,327
{fruit/vegetable juice} => {soda},0.01840366,0.254571027,0.072292832,1.459886908,181
{soda} => {fruit/vegetable juice},0.01840366,0.105539359,0.174377224,1.459886908,181
{sausage} => {root vegetables},0.014946619,0.159090909,0.093950178,1.459570047,147
